地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
中央区 南4条西7丁目・8丁目（南4条通の南側のみ）,札幌センター1,月 木,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
中央区 南5条～8条の西7丁目・8丁目（南7条西8丁目1024番地を除く）,札幌センター1,月 木,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
中央区 南9条西4丁目～6丁目（南9条通の南側のみ）,札幌センター1,月 木,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
中央区 南9条西7丁目～12丁目,札幌センター1,月 木,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
中央区 南10条～13条の西5丁目～12丁目,札幌センター1,月 木,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
中央区 南14条西5丁目,札幌センター1,月 木,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
中央区 南14条西6丁目～12丁目（行啓通の北側のみ）,札幌センター1,月 木,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
中央区 南14条西6丁目～12丁目（行啓通の南側のみ）,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,水,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,金
中央区 南15条西4丁目～12丁目,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,水,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,金
中央区 南16条西1丁目～12丁目,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,水,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,金
中央区 南17条西4丁目～15丁目,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,水,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,金
中央区 南17条西16・17丁目（南17条通の南側のみ）,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,水,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,金
中央区 南18条～30条の西○丁目,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,水,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,金
