地名,センター,燃やせるごみ・スプレー缶,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
中央区 南4条西7丁目・8丁目（南4条通の南側のみ）,札幌センター1,月 木,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,金,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,火
中央区 南5条～8条の西7丁目・8丁目（南7条西8丁目1024番地を除く）,札幌センター1,月 木,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,金,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,火
中央区 南9条西4丁目～6丁目（南9条通の南側のみ）,札幌センター1,月 木,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,金,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,火
中央区 南9条西7丁目～12丁目,札幌センター1,月 木,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,金,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,火
中央区 南10条～13条の西5丁目～12丁目,札幌センター1,月 木,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,金,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,火
中央区 南14条西5丁目,札幌センター1,月 木,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,金,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,火
中央区 南14条西6丁目～12丁目（行啓通の北側のみ）,札幌センター1,月 木,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,金,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,火
中央区 南14条西6丁目～12丁目（行啓通の南側のみ）,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,水,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,金
中央区 南15条西4丁目～12丁目,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,水,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,金
中央区 南16条西1丁目～12丁目,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,水,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,金
